claim_id,applicant_name,state,district,village,claim_type,claimed_area,recorded_area,submission_date,status,days_pending,latitude,longitude
FRA-1182,Suresh Maravi,Chhattisgarh,Dhamtari,Chandapur,Community,8.07,8.3,2026-05-18,Pending,99,20.66191549507055,81.64942472931088
FRA-1183,Rajesh Hembram,Jharkhand,Gumla,Sunderpur,Individual,5.2,5.41,2026-08-11,Approved,0,23.10424610063107,84.5327929014148
FRA-1184,Sunita Uraon,Odisha,Rayagada,Bhadrapur,Individual,9.49,9.47,2026-08-21,Approved,0,19.10545514348266,83.37968385510531
FRA-1185,Babu Munda,Maharashtra,Palghar,Durgapur,Community,10.21,10.33,2026-08-12,Approved,0,19.79204734491274,72.69018700394916
FRA-1186,Kanhu Patel,Odisha,Rayagada,Sitapur,Individual,5.93,6.01,2026-08-12,Approved,0,19.23374014905978,83.46977195740098
FRA-1187,Sidhu Soren,Chhattisgarh,Bastar,Example Village,Individual,4.06,8.93,2026-08-23,Approved,0,19.09050355528938,82.01348260518273
FRA-1188,Gautam Pradhan,Madhya Pradesh,Dindori,Amrapali,Community,6.19,9.9,2026-08-24,Approved,0,22.883514960483915,81.04307742039259
FRA-1189,Babu Bhilla,Jharkhand,Dumka,Panchvati,Community,6.62,6.63,2026-08-18,Approved,0,24.177878225121056,87.24412425741147
FRA-1190,Phulo Naik,Maharashtra,Chandrapur,Durgapur,Community,9.23,9.13,2025-11-05,Pending,286,19.87466551102836,79.20041029060611
FRA-1191,Phulo Munda,Madhya Pradesh,Dhar,Chandapur,Individual,2.19,2.14,2026-08-19,Approved,0,22.677340780562396,75.25664314218032
FRA-1192,Birsa Bhoi,Maharashtra,Nandurbar,Chandapur,Individual,7.96,7.91,2026-08-18,Approved,0,21.331899162468694,74.15533364457482
FRA-1193,Vijay Patel,Chhattisgarh,Dhamtari,Amrapali,Individual,11.6,11.83,2026-08-07,Approved,0,20.785125072924885,81.64922178118864
FRA-1194,Lakshmi Patel,Odisha,Mayurbhanj,Sitapur,Community,14.51,14.37,2026-08-20,Approved,0,21.978556539303895,86.75873747872683
FRA-1195,Lakshmi Hembram,Madhya Pradesh,Chhindwara,Example Village,Community,13.49,13.74,2026-06-13,Pending,63,21.95910822494116,78.91478823768541
FRA-1196,Kanhu Tudu,Chhattisgarh,Bastar,Panchvati,Individual,2.06,2.06,2026-08-25,Approved,0,19.098692092856037,81.85801856741703
FRA-1197,Birsa Rathwa,Jharkhand,West Singhbhum,Panchvati,Community,14.94,15.21,2026-08-20,Approved,0,22.647899146454805,85.83987656630123
FRA-1198,Vijay Bhilla,Madhya Pradesh,Balaghat,Example Village,Community,1.36,1.3,2026-05-13,Pending,101,21.739882416285766,80.09666657116615
FRA-1199,Babu Singh,Jharkhand,Simdega,Rampur,Community,12.78,12.88,2026-08-15,Approved,0,22.66983617042859,84.55357773668788
FRA-1200,Somnath Kumar,Madhya Pradesh,Balaghat,Panchvati,Community,13.45,13.41,2026-08-14,Approved,0,21.737400692459058,80.13321164345929
FRA-1201,Kanhu Pradhan,Maharashtra,Palghar,Kalyanpur,Individual,3.16,2.88,2026-03-25,Pending,141,19.727024408722777,72.84566648304676
FRA-1202,Somnath Pradhan,Odisha,Rayagada,Example Village,Individual,5.49,5.38,2026-08-18,Approved,0,19.09074342966752,83.39554443048527
FRA-1203,Birsa Patel,Odisha,Mayurbhanj,Durgapur,Community,10.06,10.17,2026-08-05,Approved,0,21.931604071593167,86.67538518956438
FRA-1204,Devi Munda,Maharashtra,Gadchiroli,Bhadrapur,Community,7.16,6.92,2026-08-09,Approved,0,20.22782210732076,79.93033583563363
FRA-1205,Gautam Naik,Maharashtra,Nandurbar,Rampur,Individual,12.74,12.72,2026-08-09,Rejected,0,21.367210033645314,74.22224546549843
FRA-1206,Phulo Pradhan,Jharkhand,West Singhbhum,Bhadrapur,Individual,1.76,2.04,2026-08-06,Approved,0,22.643570431211188,85.8350782706779
FRA-1207,Birsa Soren,Jharkhand,Latehar,Panchvati,Individual,8.96,8.84,2025-09-05,Pending,335,23.84159347912818,84.4646803724003
FRA-1208,Jano Tudu,Maharashtra,Yavatmal,Rampur,Community,6.75,10.8,2026-08-11,Approved,0,20.319001462871032,78.2085838965025
FRA-1209,Somnath Singh,Maharashtra,Chandrapur,Chandapur,Individual,12.51,12.7,2026-08-12,Approved,0,20.04721313032124,79.20727425311524
FRA-1210,Manoj Rathwa,Maharashtra,Nandurbar,Sitapur,Individual,13.44,13.28,2026-04-17,Pending,110,21.42663665622449,74.2178900407731
FRA-1211,Phulo Patel,Odisha,Sundargarh,Sitapur,Individual,2.22,2.06,2026-07-06,Pending,34,22.215295760455405,84.11068306808289
FRA-1212,Pooja Gond,Jharkhand,Latehar,Durgapur,Community,2.79,2.77,2025-10-13,Pending,307,23.767876670176452,84.44864184580479
FRA-1213,Manoj Naik,Odisha,Sundargarh,Amrapali,Individual,3.9,3.62,2025-12-24,Pending,226,22.036665601652317,84.10207424869614
FRA-1214,Gautam Bhoi,Madhya Pradesh,Dhar,Chandapur,Community,8.03,7.94,2026-08-06,Approved,0,22.545749747859933,75.3735368160251
FRA-1215,Phulo Hembram,Maharashtra,Palghar,Sunderpur,Individual,8.11,8.23,2026-08-19,Approved,0,19.600454280589734,72.79855709453017
FRA-1216,Anita Gond,Maharashtra,Gadchiroli,Chandapur,Individual,6.66,6.8,2025-08-23,Pending,356,20.204389937018355,80.07999351451066
FRA-1217,Vijay Munda,Jharkhand,Latehar,Kalyanpur,Community,12.76,12.66,2026-08-14,Approved,0,23.79698820907069,84.56315431233776
FRA-1218,Suresh Gond,Jharkhand,Dumka,Example Village,Individual,10.63,10.68,2026-04-09,Pending,126,24.29955203314377,87.34239724056542
FRA-1219,Radha Tudu,Jharkhand,Simdega,Example Village,Community,8.06,8.09,2026-08-11,Approved,0,22.626729355152637,84.44166571173699
FRA-1220,Suresh Rathwa,Odisha,Koraput,Example Village,Individual,3.72,3.67,2026-08-18,Approved,0,18.72060228597537,82.77053844283235
FRA-1221,Anita Munda,Maharashtra,Yavatmal,Sitapur,Individual,8.72,8.83,2026-08-12,Approved,0,20.497623567690155,78.17759275139387
FRA-1222,Pooja Bhilla,Odisha,Koraput,Durgapur,Community,11.36,11.32,2025-12-12,Pending,244,18.76575681744912,82.71984621124388
FRA-1223,Ramesh Patel,Jharkhand,Dumka,Chhota Nagpur,Individual,14.95,14.69,2026-08-21,Approved,0,24.241711731961505,87.25530754990511
FRA-1224,Devi Hembram,Odisha,Kandhamal,Chandapur,Individual,13.25,13.11,2026-08-23,Approved,0,20.14150578426216,84.06191978083848
FRA-1225,Gautam Maravi,Odisha,Kandhamal,Chhota Nagpur,Community,11.0,10.9,2026-08-21,Approved,0,20.306324427253806,84.08132455123153
FRA-1226,Ramesh Gond,Madhya Pradesh,Chhindwara,Kalyanpur,Individual,8.22,8.06,2025-12-05,Pending,254,21.98623246543572,78.96333045293811
FRA-1227,Lakshmi Bhilla,Madhya Pradesh,Chhindwara,Devgaon,Individual,1.93,1.75,2026-08-25,Approved,0,22.07686268283499,78.92999273313963
FRA-1228,Kamla Rathwa,Maharashtra,Yavatmal,Example Village,Individual,2.02,2.26,2026-08-22,Rejected,0,20.46717013258738,78.19821778732421
FRA-1229,Pooja Bhoi,Odisha,Koraput,Chandapur,Community,10.64,10.86,2026-08-05,Rejected,0,18.748754079976077,82.81046552346073
FRA-1230,Suresh Gond,Chhattisgarh,Bastar,Amrapali,Individual,12.5,12.75,2026-08-19,Approved,0,19.090479387345606,82.01794952588193
FRA-1231,Phulo Soren,Jharkhand,Latehar,Sunderpur,Community,13.45,13.58,2026-08-19,Approved,0,23.81985273711344,84.44825598022406
FRA-1232,Birsa Naik,Chhattisgarh,Bastar,Bhadrapur,Community,6.14,13.51,2026-08-14,Approved,0,19.076793336938078,81.97099190012564
FRA-1233,Rajesh Bhilla,Maharashtra,Gadchiroli,Devgaon,Individual,8.24,8.52,2026-08-09,Rejected,0,20.1542789577593,80.05588792126407
FRA-1234,Devi Pradhan,Chhattisgarh,Kanker,Devgaon,Individual,13.14,13.35,2026-08-24,Approved,0,20.321369719216946,81.44556427768225
FRA-1235,Babu Pradhan,Maharashtra,Yavatmal,Rampur,Individual,1.38,0.69,2026-08-15,Approved,0,20.33303898012454,78.15800538031438
FRA-1236,Anita Rathwa,Jharkhand,West Singhbhum,Sitapur,Individual,2.52,2.34,2026-08-05,Approved,0,22.520305772065875,85.75361717117806
FRA-1237,Radha Munda,Odisha,Rayagada,Amrapali,Individual,8.25,7.95,2026-08-21,Rejected,0,19.220475007970226,83.37651397130836
FRA-1238,Sidhu Tudu,Maharashtra,Gadchiroli,Rampur,Community,4.94,4.67,2026-08-24,Approved,0,20.24999680117656,80.0014318428169
FRA-1239,Ramesh Singh,Chhattisgarh,Kanker,Example Village,Community,13.68,13.9,2026-03-11,Pending,149,20.35054867186199,81.53778431006991
FRA-1240,Birsa Rathwa,Jharkhand,Dumka,Amrapali,Community,10.65,10.95,2026-07-24,Pending,16,24.207369798093108,87.2548015577185
FRA-1241,Lakshmi Pradhan,Jharkhand,Latehar,Chhota Nagpur,Individual,2.67,2.4,2026-08-11,Approved,0,23.76048857559726,84.56121684450204
FRA-1242,Gautam Patel,Maharashtra,Chandrapur,Durgapur,Community,8.17,8.35,2026-06-01,Pending,72,20.03211752434425,79.39541553934826
FRA-1243,Sidhu Hembram,Jharkhand,Latehar,Bhadrapur,Individual,4.58,4.82,2026-08-16,Approved,0,23.78618868920677,84.5947398504387
FRA-1244,Vijay Hembram,Jharkhand,Dumka,Devgaon,Community,6.29,6.28,2026-08-25,Approved,0,24.2606458015498,87.28383258865719
FRA-1245,Ramesh Uraon,Odisha,Rayagada,Kalyanpur,Individual,13.19,13.17,2026-08-16,Approved,0,19.215927614764357,83.37980062194954
FRA-1246,Vijay Uraon,Odisha,Sundargarh,Bhadrapur,Community,3.53,5.65,2026-08-19,Rejected,0,22.14554038635667,84.09747022048842
FRA-1247,Lakshmi Pradhan,Odisha,Mayurbhanj,Bhadrapur,Individual,1.4,0.7,2026-08-15,Approved,0,21.990445862520065,86.82571504743197
FRA-1248,Rajesh Kumar,Odisha,Koraput,Durgapur,Community,5.4,2.16,2026-08-21,Approved,0,18.817680699692943,82.6228855444498
FRA-1249,Birsa Rathwa,Chhattisgarh,Bastar,Durgapur,Individual,5.3,5.47,2026-08-10,Approved,0,19.038461762701033,81.89777394132919
FRA-1250,Kamla Singh,Madhya Pradesh,Dhar,Kalyanpur,Individual,10.19,22.42,2026-05-30,Pending,72,22.564268825881797,75.32838397616344
FRA-1251,Sunita Maravi,Madhya Pradesh,Balaghat,Devgaon,Community,8.09,8.1,2026-08-24,Approved,0,21.740095934328465,80.14345550731207
FRA-1252,Radha Soren,Maharashtra,Nandurbar,Rampur,Individual,1.98,2.17,2025-09-04,Pending,335,21.411754189080206,74.32839652942629
FRA-1253,Rajesh Bhoi,Maharashtra,Yavatmal,Rampur,Community,12.15,11.89,2026-06-29,Pending,49,20.362016856282086,78.226497446372
FRA-1254,Birsa Pradhan,Jharkhand,Dumka,Durgapur,Community,1.29,1.58,2026-08-20,Rejected,0,24.202842525283973,87.34773697250239
FRA-1255,Pooja Singh,Maharashtra,Yavatmal,Sitapur,Community,11.47,11.74,2026-04-27,Pending,109,20.31784086734322,78.1630924863056
FRA-1256,Anita Naik,Odisha,Sundargarh,Devgaon,Individual,11.15,11.13,2026-08-18,Approved,0,22.053853320671376,84.01500758087128
FRA-1257,Somnath Uraon,Jharkhand,Latehar,Panchvati,Individual,14.5,14.4,2026-05-06,Pending,104,23.8328460210809,84.55460322120331
FRA-1258,Somnath Kumar,Chhattisgarh,Rajnandgaon,Durgapur,Individual,6.12,6.36,2025-09-11,Pending,337,21.14874944285447,81.02855716719174
FRA-1259,Phulo Bhilla,Odisha,Sundargarh,Example Village,Individual,14.81,15.09,2026-05-28,Pending,72,22.157406641348476,84.07797577445761
FRA-1260,Sidhu Soren,Jharkhand,Latehar,Kalyanpur,Individual,9.69,9.82,2026-08-13,Approved,0,23.811200641196624,84.49367287519966
FRA-1261,Radha Pradhan,Jharkhand,Gumla,Sitapur,Individual,8.65,8.84,2026-08-18,Approved,0,23.109804997619566,84.60790894956888
FRA-1262,Lakshmi Soren,Odisha,Rayagada,Chhota Nagpur,Community,1.11,0.9,2026-08-15,Approved,0,19.086033190966464,83.42410631330503
FRA-1263,Anita Gond,Chhattisgarh,Bastar,Rampur,Community,11.47,11.77,2026-08-14,Approved,0,19.196033798899347,81.9430659945828
FRA-1264,Pooja Gond,Chhattisgarh,Surguja,Sitapur,Individual,2.88,2.81,2026-08-24,Approved,0,23.128355072933605,83.24480116104294
FRA-1265,Gautam Singh,Maharashtra,Palghar,Kalyanpur,Community,1.13,0.56,2026-08-12,Rejected,0,19.60871152809794,72.79864544458219
FRA-1266,Manoj Maravi,Jharkhand,Gumla,Amrapali,Community,1.42,1.2,2026-04-13,Pending,120,23.080126966263347,84.60783569103548
FRA-1267,Lakshmi Bhilla,Maharashtra,Yavatmal,Panchvati,Individual,11.12,11.05,2026-04-24,Pending,115,20.379847395041384,78.07245139455793
FRA-1268,Somnath Naik,Chhattisgarh,Kanker,Amrapali,Community,6.69,6.65,2026-08-24,Approved,0,20.30122630826024,81.51479515748849
FRA-1269,Lakshmi Patel,Jharkhand,Gumla,Panchvati,Community,5.92,6.11,2026-08-18,Approved,0,23.101430977871274,84.46940656409632
FRA-1270,Anita Gond,Chhattisgarh,Bastar,Bhadrapur,Individual,4.28,4.48,2026-08-15,Approved,0,19.01742510167002,81.9040430318764
FRA-1271,Vijay Munda,Chhattisgarh,Rajnandgaon,Rampur,Individual,8.71,8.57,2026-08-20,Rejected,0,21.082661866095577,81.00085090911023
FRA-1272,Pooja Bhilla,Maharashtra,Chandrapur,Sitapur,Individual,13.74,13.47,2026-06-27,Pending,44,19.957396429732867,79.38251842929324
FRA-1273,Babu Singh,Odisha,Kandhamal,Rampur,Community,11.62,11.84,2026-04-25,Pending,121,20.134869033955475,84.0091782457571
FRA-1274,Manoj Bhilla,Madhya Pradesh,Dindori,Sitapur,Community,12.11,11.99,2026-05-23,Pending,79,22.8983990181084,81.09325848006218
FRA-1275,Gautam Singh,Jharkhand,Simdega,Amrapali,Community,12.41,12.7,2026-08-09,Approved,0,22.643978913546384,84.58840967341544
FRA-1276,Devi Soren,Chhattisgarh,Bastar,Bhadrapur,Individual,12.53,20.05,2026-07-26,Pending,25,19.05954917036325,81.90353662660048
FRA-1277,Babu Tudu,Odisha,Koraput,Kalyanpur,Individual,10.63,10.69,2026-08-14,Rejected,0,18.745314286348687,82.74365685728179
FRA-1278,Rajesh Patel,Maharashtra,Gadchiroli,Devgaon,Community,11.06,11.24,2026-08-18,Approved,0,20.223269397742456,80.0791564869747
FRA-1279,Devi Tudu,Madhya Pradesh,Chhindwara,Example Village,Community,9.2,9.07,2026-08-10,Rejected,0,22.003495198566668,78.98770220031435
FRA-1280,Suresh Munda,Madhya Pradesh,Mandla,Example Village,Individual,2.95,2.87,2026-08-23,Approved,0,22.54792405434737,80.31955365989248
FRA-1281,Manoj Uraon,Madhya Pradesh,Balaghat,Sitapur,Individual,2.7,2.7,2026-08-25,Approved,0,21.76609753846156,80.25050353933123
FRA-1282,Devi Gond,Chhattisgarh,Bastar,Chandapur,Individual,3.55,3.72,2026-07-14,Pending,32,19.026401966358144,81.90685326857337
FRA-1283,Somnath Munda,Jharkhand,Dumka,Durgapur,Community,11.63,11.89,2026-05-29,Pending,80,24.178835426417553,87.23586882213489
FRA-1284,Birsa Gond,Maharashtra,Nandurbar,Durgapur,Individual,11.76,11.87,2026-08-11,Approved,0,21.384450835582694,74.20360341022734
FRA-1285,Radha Munda,Jharkhand,Gumla,Rampur,Community,1.63,1.89,2026-08-20,Approved,0,22.942114232369637,84.62698877031906
FRA-1286,Ramesh Bhoi,Odisha,Koraput,Rampur,Individual,14.15,7.08,2026-08-17,Approved,0,18.75834378171619,82.80241203976115
FRA-1287,Kanhu Singh,Odisha,Rayagada,Chandapur,Community,12.63,20.21,2025-10-27,Pending,299,19.132188470468297,83.41197209893264
FRA-1288,Gautam Pradhan,Jharkhand,Latehar,Rampur,Individual,13.06,13.23,2026-08-22,Rejected,0,23.772688290577715,84.45225682770092
FRA-1289,Devi Naik,Madhya Pradesh,Balaghat,Chhota Nagpur,Individual,14.96,7.48,2026-08-08,Approved,0,21.744155001864605,80.16761947986356
FRA-1290,Manoj Hembram,Maharashtra,Palghar,Kalyanpur,Community,3.44,3.2,2026-08-24,Approved,0,19.79269931917033,72.78591008246366
FRA-1291,Vijay Munda,Chhattisgarh,Rajnandgaon,Durgapur,Community,1.58,0.79,2026-08-14,Approved,0,21.07395752379217,81.06195131612576
FRA-1292,Anita Patel,Maharashtra,Palghar,Chandapur,Community,9.58,9.63,2025-12-23,Pending,237,19.649069376195257,72.72995014795812
FRA-1293,Gautam Soren,Maharashtra,Yavatmal,Chhota Nagpur,Individual,5.94,5.77,2026-08-05,Approved,0,20.470731489410447,78.19453942639934
FRA-1294,Radha Tudu,Odisha,Sundargarh,Chhota Nagpur,Individual,11.3,11.18,2026-08-09,Approved,0,22.082317639646668,84.07418914166266
FRA-1295,Anita Rathwa,Jharkhand,Dumka,Example Village,Individual,5.58,2.23,2026-08-25,Approved,0,24.232380751467602,87.18233355644112
FRA-1296,Sidhu Maravi,Maharashtra,Palghar,Rampur,Community,9.97,10.22,2026-08-21,Rejected,0,19.632409512771403,72.84552828602867
FRA-1297,Kanhu Maravi,Madhya Pradesh,Dindori,Panchvati,Individual,11.63,11.58,2026-08-05,Approved,0,22.88868349396041,81.16539914281216
FRA-1298,Birsa Gond,Chhattisgarh,Kanker,Bhadrapur,Community,4.41,4.12,2026-08-05,Approved,0,20.322619854872904,81.58089515834288
FRA-1299,Jano Kumar,Odisha,Koraput,Sunderpur,Community,13.44,13.53,2026-08-19,Approved,0,18.729937471834766,82.64243412271136
FRA-1300,Sidhu Bhilla,Madhya Pradesh,Mandla,Durgapur,Community,6.43,10.29,2026-08-21,Approved,0,22.61052734956016,80.34610080925661
FRA-1301,Ramesh Uraon,Jharkhand,Gumla,Kalyanpur,Community,11.17,10.97,2026-08-09,Approved,0,23.028072931984703,84.57297007129685
FRA-1302,Kamla Pradhan,Odisha,Koraput,Devgaon,Individual,9.17,9.0,2026-08-19,Approved,0,18.738202735341464,82.62799783001431
FRA-1303,Phulo Singh,Odisha,Rayagada,Chandapur,Community,10.0,9.82,2026-08-17,Approved,0,19.243387089733382,83.44151831870396
FRA-1304,Anita Pradhan,Maharashtra,Palghar,Kalyanpur,Individual,2.67,2.56,2026-08-05,Rejected,0,19.663315414895365,72.67138544783445
FRA-1305,Kanhu Pradhan,Chhattisgarh,Rajnandgaon,Example Village,Individual,13.89,13.72,2026-08-19,Approved,0,21.090447407006085,80.95418884887755
FRA-1306,Anita Tudu,Chhattisgarh,Dhamtari,Example Village,Community,12.72,12.51,2026-08-16,Approved,0,20.784205636068577,81.4684646175804
FRA-1307,Ramesh Soren,Jharkhand,Dumka,Amrapali,Individual,2.56,2.75,2026-08-25,Approved,0,24.19205621686399,87.27767729805221
FRA-1308,Manoj Munda,Jharkhand,Simdega,Devgaon,Community,13.11,13.25,2026-08-22,Approved,0,22.548728709616444,84.45442239270471
FRA-1309,Phulo Bhoi,Madhya Pradesh,Mandla,Amrapali,Community,5.98,6.22,2026-04-18,Pending,124,22.58217554488494,80.30425122363549
FRA-1310,Ramesh Hembram,Jharkhand,West Singhbhum,Chhota Nagpur,Individual,12.72,12.88,2026-08-05,Approved,0,22.57286952396578,85.8012651631799
FRA-1311,Radha Maravi,Odisha,Koraput,Durgapur,Community,9.45,4.72,2026-08-13,Rejected,0,18.78101928213616,82.73479581804153
FRA-1312,Radha Bhoi,Chhattisgarh,Rajnandgaon,Rampur,Individual,1.44,3.17,2026-08-17,Rejected,0,21.07605496334801,81.09275887670337
FRA-1313,Sunita Kumar,Chhattisgarh,Bastar,Chhota Nagpur,Community,10.66,10.64,2026-08-06,Approved,0,19.140263148342687,81.95303882610321
FRA-1314,Sidhu Bhilla,Jharkhand,West Singhbhum,Sunderpur,Community,1.4,1.13,2026-04-17,Pending,110,22.502351379411177,85.89866033725076
FRA-1315,Rajesh Munda,Jharkhand,Dumka,Amrapali,Community,10.19,4.08,2026-08-05,Approved,0,24.235148552935797,87.34991598438155
FRA-1316,Jano Soren,Jharkhand,Latehar,Chhota Nagpur,Individual,8.7,8.8,2026-08-25,Approved,0,23.65875542427599,84.43097088753981
FRA-1317,Sunita Gond,Odisha,Kandhamal,Chhota Nagpur,Individual,14.46,14.21,2026-01-18,Pending,200,20.3030725788839,84.02012387598126
FRA-1318,Kamla Hembram,Odisha,Kandhamal,Panchvati,Individual,10.71,10.47,2026-08-15,Approved,0,20.13330385410379,84.11298398164736
FRA-1319,Sidhu Singh,Jharkhand,Simdega,Chandapur,Community,13.07,13.05,2026-08-12,Approved,0,22.613810690070906,84.51859724374958
FRA-1320,Ramesh Gond,Chhattisgarh,Dhamtari,Sunderpur,Community,3.03,2.8,2026-05-17,Pending,90,20.728138608010756,81.5339062888205
FRA-1321,Lakshmi Munda,Jharkhand,Dumka,Sitapur,Individual,4.68,4.88,2026-08-21,Approved,0,24.17355138219756,87.17074951605247
FRA-1322,Sunita Bhilla,Jharkhand,Latehar,Chhota Nagpur,Community,2.08,2.26,2026-08-07,Rejected,0,23.76928603642285,84.5520758985047
FRA-1323,Radha Bhilla,Chhattisgarh,Rajnandgaon,Amrapali,Individual,8.37,8.12,2026-08-11,Approved,0,21.003182066801305,81.00142619496884
FRA-1324,Sunita Munda,Odisha,Rayagada,Chhota Nagpur,Individual,7.61,7.71,2026-08-11,Approved,0,19.224224276632857,83.43364874756915
FRA-1325,Manoj Patel,Madhya Pradesh,Balaghat,Chandapur,Community,1.58,1.79,2026-04-27,Pending,111,21.902705573548918,80.1347889968258
FRA-1326,Suresh Hembram,Jharkhand,Dumka,Chandapur,Individual,12.34,12.61,2026-08-08,Approved,0,24.189799241683847,87.1686553747921
FRA-1327,Lakshmi Hembram,Maharashtra,Nandurbar,Amrapali,Community,10.27,10.0,2026-08-24,Approved,0,21.274924993062243,74.2261611335751
FRA-1328,Anita Patel,Madhya Pradesh,Mandla,Durgapur,Community,13.32,5.33,2026-08-18,Approved,0,22.680210319264546,80.32507984744286
FRA-1329,Ramesh Kumar,Maharashtra,Chandrapur,Bhadrapur,Individual,1.22,1.35,2026-04-01,Pending,143,19.89189315910999,79.38828748876492
FRA-1330,Ramesh Bhilla,Jharkhand,West Singhbhum,Chhota Nagpur,Individual,11.03,11.22,2026-08-05,Approved,0,22.57154590905529,85.84018097755454
FRA-1331,Jano Gond,Jharkhand,Simdega,Sunderpur,Community,12.22,12.42,2026-05-09,Pending,106,22.651389008480812,84.5524914340393
FRA-1332,Suresh Tudu,Odisha,Rayagada,Sitapur,Community,10.09,10.08,2026-07-19,Pending,36,19.2595036721698,83.46693877121673
FRA-1333,Phulo Naik,Madhya Pradesh,Balaghat,Chandapur,Individual,8.13,3.25,2026-04-03,Pending,131,21.76832964311401,80.2680298100157
FRA-1334,Gautam Uraon,Jharkhand,Latehar,Rampur,Community,10.95,17.52,2025-09-11,Pending,336,23.775592710126986,84.41405372522982
FRA-1335,Phulo Singh,Madhya Pradesh,Dhar,Chandapur,Community,5.56,2.78,2026-08-14,Approved,0,22.5876826905841,75.24769935104051
FRA-1336,Gautam Bhoi,Maharashtra,Nandurbar,Chandapur,Individual,13.92,13.77,2026-08-12,Approved,0,21.406797811809565,74.21453234376321
FRA-1337,Lakshmi Patel,Chhattisgarh,Kanker,Chhota Nagpur,Community,1.92,1.86,2026-07-06,Pending,32,20.255881449211135,81.57279607117565
FRA-1338,Devi Bhilla,Chhattisgarh,Bastar,Panchvati,Individual,10.9,10.65,2026-08-24,Approved,0,19.074765086008167,81.87918017806912
FRA-1339,Vijay Maravi,Maharashtra,Yavatmal,Rampur,Individual,7.6,7.46,2026-08-06,Approved,0,20.350176379117638,78.1856585615901
FRA-1340,Kanhu Patel,Chhattisgarh,Dhamtari,Rampur,Community,4.17,4.29,2026-06-06,Pending,73,20.763396666549514,81.45542505193532
FRA-1341,Birsa Hembram,Jharkhand,Gumla,Devgaon,Individual,10.43,10.41,2026-08-25,Approved,0,23.019551495420437,84.4673206905793
FRA-1342,Sidhu Bhilla,Maharashtra,Yavatmal,Panchvati,Individual,4.5,1.8,2026-08-08,Approved,0,20.32224641616461,78.10642506609732
FRA-1343,Gautam Maravi,Madhya Pradesh,Dhar,Rampur,Individual,11.0,11.0,2026-06-10,Pending,74,22.548232323608534,75.3058654990687
FRA-1344,Manoj Bhilla,Chhattisgarh,Dhamtari,Bhadrapur,Community,10.7,10.99,2026-08-23,Approved,0,20.693619790817547,81.46951081582598
FRA-1345,Pooja Tudu,Madhya Pradesh,Chhindwara,Sitapur,Individual,13.76,13.68,2026-08-13,Approved,0,21.9967573768459,78.97595438300763
FRA-1346,Kanhu Soren,Chhattisgarh,Surguja,Example Village,Community,2.73,2.84,2026-08-10,Approved,0,23.128464334580077,83.16458040035353
FRA-1347,Kanhu Pradhan,Madhya Pradesh,Dindori,Kalyanpur,Community,5.8,6.09,2026-08-05,Approved,0,22.905411351502877,81.16373449337954
FRA-1348,Pooja Tudu,Chhattisgarh,Rajnandgaon,Durgapur,Individual,12.85,13.12,2026-08-25,Rejected,0,21.160079716999583,81.04999304901742
FRA-1349,Devi Tudu,Madhya Pradesh,Balaghat,Amrapali,Community,4.35,4.4,2026-08-25,Approved,0,21.763819429940146,80.08546561171933
FRA-1350,Sidhu Maravi,Chhattisgarh,Dhamtari,Example Village,Individual,12.78,12.74,2026-08-12,Approved,0,20.610894331055917,81.55117195553916
FRA-1351,Kanhu Patel,Maharashtra,Palghar,Sunderpur,Individual,8.21,8.24,2026-08-06,Approved,0,19.62948862485706,72.66959664368224
FRA-1352,Anita Uraon,Jharkhand,Latehar,Devgaon,Individual,14.27,14.08,2026-08-24,Approved,0,23.842540625619062,84.45241560865983
FRA-1353,Manoj Hembram,Chhattisgarh,Surguja,Bhadrapur,Community,5.33,5.08,2026-08-09,Approved,0,23.15360062963866,83.28302815616344
FRA-1354,Vijay Bhilla,Maharashtra,Yavatmal,Rampur,Individual,3.13,3.02,2026-08-10,Approved,0,20.349336040554835,78.21460188297686
FRA-1355,Ramesh Singh,Maharashtra,Gadchiroli,Kalyanpur,Individual,9.49,9.26,2026-08-19,Approved,0,20.23715217242192,80.06912271714103
FRA-1356,Vijay Uraon,Jharkhand,Latehar,Sitapur,Community,2.49,2.58,2026-08-17,Approved,0,23.814406473740952,84.51511527100703
FRA-1357,Lakshmi Gond,Madhya Pradesh,Balaghat,Kalyanpur,Individual,8.03,7.78,2026-08-15,Approved,0,21.75712602382988,80.16719500179731
FRA-1358,Jano Kumar,Madhya Pradesh,Dhar,Bhadrapur,Individual,9.39,9.33,2026-08-16,Approved,0,22.52741666340518,75.31227805991847
FRA-1359,Kanhu Tudu,Jharkhand,Simdega,Sitapur,Community,9.56,9.81,2026-08-23,Approved,0,22.64393207131074,84.47247764198043
FRA-1360,Anita Pradhan,Jharkhand,Latehar,Example Village,Individual,6.75,6.48,2025-11-29,Pending,265,23.8243370129753,84.52632067905797
FRA-1361,Rajesh Uraon,Chhattisgarh,Kanker,Sitapur,Individual,5.95,5.99,2026-08-08,Approved,0,20.317501216498545,81.5762220746984
FRA-1362,Kamla Maravi,Chhattisgarh,Surguja,Chandapur,Individual,7.58,7.62,2026-08-06,Approved,0,23.196257930403807,83.16685290871224
FRA-1363,Rajesh Patel,Maharashtra,Yavatmal,Amrapali,Individual,14.43,14.67,2026-08-09,Approved,0,20.357364747293726,78.22533326927523
